DependencyVersion(version=2.5.0-cdh5.2.0, time=2014-10-08 20:20:50 UTC)
DependencyVersion(version=2.5.0-cdh5.2.1, time=2014-11-06 00:24:18 UTC)
DependencyVersion(version=2.5.0-cdh5.2.2, time=2015-01-13 21:05:57 UTC)
DependencyVersion(version=2.5.0-cdh5.2.3, time=2015-01-22 23:34:03 UTC)
DependencyVersion(version=2.5.0-cdh5.2.3.1, time=2015-03-19 22:12:29 UTC)
DependencyVersion(version=2.5.0-cdh5.2.3.2, time=2015-05-22 00:31:26 UTC)
DependencyVersion(version=2.5.0-cdh5.2.3.3, time=2015-06-08 23:37:07 UTC)
DependencyVersion(version=2.5.0-cdh5.2.4, time=2015-02-15 23:24:57 UTC)
DependencyVersion(version=2.5.0-cdh5.2.5, time=2015-03-28 02:07:49 UTC)
DependencyVersion(version=2.5.0-cdh5.2.6, time=2015-06-26 02:09:26 UTC)
DependencyVersion(version=2.5.0-cdh5.3.0, time=2014-12-10 00:07:53 UTC)
DependencyVersion(version=2.5.0-cdh5.3.1, time=2015-01-25 19:45:08 UTC)
DependencyVersion(version=2.5.0-cdh5.3.2, time=2015-02-10 22:42:28 UTC)
DependencyVersion(version=2.5.0-cdh5.3.3, time=2015-03-25 03:42:11 UTC)
DependencyVersion(version=2.5.0-cdh5.3.4, time=2015-05-15 01:14:21 UTC)
DependencyVersion(version=2.5.0-cdh5.3.5, time=2015-06-20 01:20:17 UTC)
DependencyVersion(version=2.5.0-cdh5.3.6, time=2015-07-10 20:58:52 UTC)
DependencyVersion(version=2.5.0-cdh5.3.8, time=2015-10-08 02:51:18 UTC)
DependencyVersion(version=2.5.0-cdh5.4.2.1, time=2015-06-17 02:27:59 UTC)
DependencyVersion(version=2.5.1, time=2014-09-05 23:20:57 UTC)
DependencyVersion(version=2.5.2, time=2014-11-05 18:45:43 UTC)
DependencyVersion(version=2.6.0, time=2014-11-13 22:49:26 UTC)
DependencyVersion(version=2.6.0.2.2.0.0-2041, time=2014-12-03 20:41:04 UTC)
DependencyVersion(version=2.6.0.3.0.0.0-249, time=2015-03-31 13:24:34 UTC)
DependencyVersion(version=2.6.0.3.0.1.0-1, time=2015-06-19 21:31:54 UTC)
DependencyVersion(version=2.6.0-cdh5.3.6, time=2015-07-10 07:18:56 UTC)
DependencyVersion(version=2.6.0-cdh5.4.0, time=2015-03-24 01:57:08 UTC)
DependencyVersion(version=2.6.0-cdh5.4.1, time=2015-05-01 19:06:01 UTC)
DependencyVersion(version=2.6.0-cdh5.4.2, time=2015-05-20 00:07:02 UTC)
DependencyVersion(version=2.6.0-cdh5.4.2.1, time=2015-06-17 21:47:24 UTC)
DependencyVersion(version=2.6.0-cdh5.4.3, time=2015-06-02 01:13:24 UTC)
DependencyVersion(version=2.6.0-cdh5.4.4, time=2015-07-02 21:30:11 UTC)
DependencyVersion(version=2.6.0-cdh5.4.4.1, time=2015-08-11 15:07:49 UTC)
DependencyVersion(version=2.6.0-cdh5.4.5, time=2015-07-19 20:24:36 UTC)
DependencyVersion(version=2.6.0-cdh5.4.7, time=2015-09-01 19:15:46 UTC)
DependencyVersion(version=2.6.0-cdh5.5.0, time=2015-10-02 18:23:26 UTC)
DependencyVersion(version=2.6.0-cdh5.7.3, time=2016-09-16 18:27:55 UTC)
DependencyVersion(version=2.6.0-cdh5.8.0, time=2016-10-05 10:33:57 UTC)
DependencyVersion(version=2.6.0-cdh5.9.0, time=2016-08-29 11:56:19 UTC)
DependencyVersion(version=2.6.1, time=2015-09-16 19:37:34 UTC)
DependencyVersion(version=2.6.2, time=2015-10-22 20:37:02 UTC)
DependencyVersion(version=2.6.3, time=2015-12-11 23:30:48 UTC)
DependencyVersion(version=2.6.4, time=2016-02-03 05:33:13 UTC)
DependencyVersion(version=2.6.5, time=2016-10-02 23:24:17 UTC)
DependencyVersion(version=2.7.0, time=2015-04-10 22:52:13 UTC)
DependencyVersion(version=2.7.1, time=2015-06-29 03:14:19 UTC)
DependencyVersion(version=2.7.1.2.4.3.0-227, time=2016-09-19 20:02:21 UTC)
DependencyVersion(version=2.7.2, time=2016-01-14 23:28:55 UTC)
DependencyVersion(version=2.7.3, time=2016-08-18 01:21:30 UTC)
DependencyVersion(version=2.7.3.2.5.0.0-1245, time=2016-08-30 17:34:44 UTC)
DependencyVersion(version=2.7.3.2.5.3.0-37, time=2016-12-01 06:30:26 UTC)
DependencyVersion(version=2.7.4, time=2017-07-28 21:02:08 UTC)
DependencyVersion(version=2.7.5, time=2017-12-16 01:40:44 UTC)
DependencyVersion(version=2.7.6, time=2018-04-17 23:25:23 UTC)
DependencyVersion(version=2.7.7, time=2018-07-19 21:38:58 UTC)
DependencyVersion(version=2.8.0, time=2017-03-17 08:46:07 UTC)
DependencyVersion(version=2.8.1, time=2017-06-07 21:33:34 UTC)
DependencyVersion(version=2.8.2, time=2017-10-19 23:29:51 UTC)
DependencyVersion(version=2.8.3, time=2017-12-05 09:26:39 UTC)
DependencyVersion(version=2.8.4, time=2018-05-08 14:49:03 UTC)
DependencyVersion(version=2.8.5, time=2018-09-10 11:07:03 UTC)
DependencyVersion(version=2.9.0, time=2017-11-13 23:58:42 UTC)
DependencyVersion(version=2.9.1, time=2018-04-19 00:52:25 UTC)
DependencyVersion(version=3.0.0, time=2017-12-08 20:19:28 UTC)
DependencyVersion(version=3.0.0-alpha1, time=2016-08-30 15:17:40 UTC)
DependencyVersion(version=3.0.0-alpha2, time=2017-01-20 20:54:51 UTC)
DependencyVersion(version=3.0.0-alpha3, time=2017-05-26 20:42:50 UTC)
DependencyVersion(version=3.0.0-alpha4, time=2017-06-30 02:14:18 UTC)
DependencyVersion(version=3.0.0-beta1, time=2017-09-28 21:57:52 UTC)
DependencyVersion(version=3.0.1, time=2018-03-16 22:48:03 UTC)
DependencyVersion(version=3.0.2, time=2018-04-23 21:51:24 UTC)
DependencyVersion(version=3.0.3, time=2018-05-31 17:25:48 UTC)
DependencyVersion(version=3.1.0, time=2018-04-03 04:07:48 UTC)
DependencyVersion(version=3.1.1, time=2018-08-02 17:02:20 UTC)
