Project, Dependency, ProjName, DepName
3424280,3424283,SiteTriks.DocumentationModule,SiteTriks.Data
3424280,3424285,SiteTriks.DocumentationModule,SiteTriks
3424280,3424287,SiteTriks.DocumentationModule,SiteTriks.Services
1028262,630846,Bifrost.DocumentDB,Bifrost.JSON
1605687,1605647,AlphaMS.Core.Aliyun,AlphaMS.Core.Common
3424281,3424285,SiteTriks.MarketingEmailModule,SiteTriks
3362827,610975,RestSharp.Serilog.Auto,RestSharp
3424282,3424292,SiteTriks.DatabaseApi,SiteTriks.Dynamic
3407898,3407901,Reusable.sdk.Outlook,Reusable.sdk.Mail
616542,2384169,jsreport.MVC,jsreport.Types
1605798,1602240,NequeoWpf,NequeoCollections
3424282,3424286,SiteTriks.DatabaseApi,SiteTriks.Configuration
1605798,1602242,NequeoWpf,NequeoBase
3424283,3424278,SiteTriks.Data,SiteTriks.Infrastructure
2277388,2277390,Paramore.Darker.Policies,Paramore.Darker
2292420,2335745,EzApp.Data.Sql.Dapper,EzApp.Data.Sql.Core
3407899,3407901,Reusable.sdk.Smtp,Reusable.sdk.Mail
1605689,1605643,NequeoDrawingPdf,NequeoDrawing
1032823,1013684,Neo4jClient.Extension,Neo4jClient.Extension.Attributes
1522983,1023824,Persimmon.MuscleAssert,Persimmon
3424283,3424286,SiteTriks.Data,SiteTriks.Configuration
3424283,3424290,SiteTriks.Data,SiteTriks.Extensions
3424284,3424277,SiteTriks.BlogModule,SiteTriks.RssFeedModule
3424284,3424278,SiteTriks.BlogModule,SiteTriks.Infrastructure
3424284,3424283,SiteTriks.BlogModule,SiteTriks.Data
3424284,3424275,SiteTriks.BlogModule,SiteTriks.SiteSync
1823366,624444,Google.Apis.CloudNaturalLanguage.v1beta1,Google.Apis.Auth
2130537,1062763,RawRabbit.Enrichers.QueueSuffix,RawRabbit
1605750,1603311,NequeoWeb,NequeoNet
1605750,1603312,NequeoWeb,NequeoData
1605750,1603313,NequeoWeb,NequeoDataLinq
2113553,2113558,Xtzp.Linq.BatchEnumerable.Db,Xtzp.Linq.BatchEnumerable
1823365,624444,Google.Apis.Dfareporting.v2_7,Google.Apis.Auth
2130538,1062763,RawRabbit.Enrichers.GlobalExecutionId,RawRabbit
1011865,615719,Google.Apis.Cloudmonitoring.v2beta1,Google.Apis
2528656,3401233,Reusable.SmartConfig.InMemory,Reusable.SmartConfig
1015687,1021479,Anubus.Windsor,Anubus.MessageContracts
3375103,3375148,PaySharp.Wechatpay,PaySharp.Core
1028737,616915,Prism.StoreApps.Extensions.Mvvm,Prism.StoreApps
2528655,3401236,Reusable.Commander,Reusable.Convertia
1032653,1019805,RegulusRemotingServer,RegulusRemoting
2359312,2359323,Polygon.Connector.QUIKLua,Polygon.Connector
2523156,2523121,OYASAR.Framework.CastleWindsor,OYASAR.Framework.Core
2359313,2359323,Polygon.Connector.CQGContinuum,Polygon.Connector
1827685,1014921,AecFramework.Notification,AecFramework.Data
1015477,1027932,Aardvark.Data.Vrml97,Aardvark.Base
1033040,1007760,nuget-bot.Microsoft.TeamFoundation.WorkItemTracking.Client,nuget-bot.Microsoft.TeamFoundation.Common
2506314,2520961,Microsoft.Orleans.OrleansSQLUtils,Microsoft.Orleans.Core.Abstractions
2528655,3401230,Reusable.Commander,Reusable.OmniLog.ColoredConsoleRx
2523153,2523121,OYASAR.Framework.DefaultAutoMapper,OYASAR.Framework.Core
2292428,2335745,EzApp.Data.Sql,EzApp.Data.Sql.Core
2359315,2359319,ITGlobal.CGateAdapter.P2,ITGlobal.CGateAdapter.Core
1217394,1059309,PInvoke.UxTheme,PInvoke.User32
2523155,2523121,OYASAR.Framework.NetCoreIoc,OYASAR.Framework.Core
1011439,628777,jQuery.UI.Themes.UI-Darkness,jQuery.UI.Combined
1589299,1589197,Tolitech.Modules.Base.Application,Tolitech.Modules.Base.Domain
622449,629014,ECommerceHelper.CurrencyConverter,ECommerceHelper.Common
2441292,2439452,Cql.Core.Owin,Cql.Core.ServiceLocation
3362762,612308,UmbracoIdentity.SqlServer,UmbracoCms.Core
2588704,2588702,Rey.Observation,Rey.Observation.Abstracts
1523304,1013591,Testing.Toolkit.MsTest,Testing.Toolkit.Core
622581,624502,FluentValidation.Specifications,FluentValidation
618878,1787923,EyeSoft.Testing,EyeSoft.Core
2588703,2588708,Myriagonal.Net.Sys,Myriagonal.Net.Core
1599728,1265433,LogoFX.Client.Mvvm.ViewModelFactory,LogoFX.Client.Mvvm.ViewModel.Core
2359326,2359323,Polygon.Connector.CGate,Polygon.Connector
3391421,3393891,PseudoLocalizer.Humanizer,PseudoLocalizer.Core
2282829,2109118,Toe.ContentPipeline.3mf,Toe.ContentPipeline
2359320,2359323,Polygon.Connector.Spimex,Polygon.Connector
1028741,616539,Hangfire.StructureMap,HangFire.Core
1028384,627607,Folke.Orm.Mysql,Folke.Orm
1032407,1027177,System.Reflection.Emit,System.Reflection
623092,608818,FlitBit.IoC.Web.Common,FlitBit.IoC
2359321,2359323,Polygon.Connector.IQFeed,Polygon.Connector
622389,630559,VVVV.Nodes.Generic,VVVV.Core
1605750,1603215,NequeoWeb,NequeoIOStream
1605750,1603192,NequeoWeb,NequeoCryptography
2359323,2359317,Polygon.Connector,Polygon.Messages
622365,631404,FunScript.TypeScript.Binding.cordova,FunScript.TypeScript.Binding.batterystatus
2392156,2390096,Zametek.Maths.Graphs.Compilers,Zametek.Maths.Graphs.Primitives
1605750,1603248,NequeoWeb,NequeoHandler
1605748,1603312,NequeoWebMvc,NequeoData
1015856,1015856,Arlanet.CopernicaNET,Arlanet.CopernicaNET
2293859,2293860,JYMLib.Web,JYMLib.Diagnostics
2284452,1012592,Stashbox.RhinoMocks,Stashbox
2563633,3368207,Syncfusion.Xamarin.SfSunburstChart.Android,Syncfusion.Licensing
2605160,2605137,Umbrella.DataAccess.Abstractions,Umbrella.Utilities
1015379,1031642,Microsoft.VisualStudio.Package.LanguageService.14.0,Microsoft.VisualStudio.Shell.14.0
1605798,1603312,NequeoWpf,NequeoData
1605798,1603313,NequeoWpf,NequeoDataLinq
2284453,1012592,Stashbox.NSubstitute,Stashbox
2563632,3368207,Syncfusion.Xamarin.SfBarcode.Android,Syncfusion.Licensing
2563631,3368207,Syncfusion.Xamarin.SfSparkline.IOS,Syncfusion.Licensing
2523239,2523243,PetProjects.Framework.Logging.Consumer,PetProjects.Framework.Logging.Contracts
2605158,2605160,Umbrella.DataAccess.EntityFrameworkCore,Umbrella.DataAccess.Abstractions
1116113,1579031,MPD.Electio.SDK,MPD.Electio.SDK.DataTypes
2563630,3368207,Syncfusion.Xamarin.SfSunburstChart.IOS,Syncfusion.Licensing
2293856,2293857,JYMLib.Jinyinmao.Web,JYMLib.Jinyinmao
2293856,2293859,JYMLib.Jinyinmao.Web,JYMLib.Web
2284451,1012592,Stashbox.Rocks,Stashbox
2563629,3368207,Syncfusion.Xamarin.SfChart,Syncfusion.Licensing
3424376,3424374,CloudNative.CloudEvents.Amqp,CloudNative.CloudEvents
2605156,2605141,Umbrella.Legacy.WCF,Umbrella.WebUtilities
2572388,2572381,Pivotal.Extensions.Configuration.ConfigServerCore,Pivotal.Extensions.Configuration.ConfigServerBase
2347753,623291,DapperUow,Dapper.Contrib
2563628,3368207,Syncfusion.Xamarin.SfSchedule,Syncfusion.Licensing
2141074,1263081,Treehopper.Libraries,Treehopper
2546200,2335626,KaVE.Commons.TestUtils,KaVE.Commons
2605154,2605162,Umbrella.DynamicImage.SkiaSharp,Umbrella.DynamicImage.Abstractions
2130033,2129651,GravatarHelper.AspNetCore,GravatarHelper.Common
2563627,3368207,Syncfusion.Xamarin.SfCalendar.IOS,Syncfusion.Licensing
2605155,2605137,Umbrella.Extensions.Logging.Azure,Umbrella.Utilities
2284454,1012592,Stashbox.Moq,Stashbox
622822,618012,CommonSenseRazor.PrecompiledViewEngine,CommonSenseRazor
2563626,3368207,Syncfusion.Xamarin.SfSchedule.Android,Syncfusion.Licensing
2342652,2354208,Lykke.Service.Limitations.Client,Lykke.Service.Limitations.Contracts
2141076,1263081,Treehopper.Desktop,Treehopper
2284455,1012592,Stashbox.FakeItEasy,Stashbox
1011876,615719,Google.Apis.Logging.v1beta3,Google.Apis
2605152,2605160,Umbrella.DataAccess.EF6,Umbrella.DataAccess.Abstractions
2572385,2572381,Pivotal.Extensions.Configuration.ConfigServerAutofac,Pivotal.Extensions.Configuration.ConfigServerBase
2563625,3368207,Syncfusion.Xamarin.SfSunburstChart,Syncfusion.Licensing
3391604,3391606,AnyCache.InMemory,AnyCache.Core
1015379,1031421,Microsoft.VisualStudio.Package.LanguageService.14.0,Microsoft.VisualStudio.TextManager.Interop
2293861,2293857,JYMLib.Jinyinmao.Azure,JYMLib.Jinyinmao
622644,623080,ClrPlus.Windows.PeBinary,ClrPlus.Core
2563641,3368207,Syncfusion.Xamarin.XlsIO,Syncfusion.Licensing
2392535,2380944,Dotnettency.Modules.Nancy,Dotnettency.Modules
1032896,1012641,Accord.Extensions.Imaging.AForgeInterop,Accord.Extensions.Math
2605168,2605137,Umbrella.FileSystem.Disk,Umbrella.Utilities
2563640,3368207,Syncfusion.Xamarin.SfAutoComplete.IOS,Syncfusion.Licensing
622623,623679,Gibraltar.Agent.PostSharp.3.0,Gibraltar.Agent
1245274,1245290,Arebis.Data,Arebis.Common
2544990,1849217,Lykke.Service.HFT.Client,Lykke.Common
1694609,2519929,Xamarin.Android.Support.Compat,Xamarin.Android.Arch.Lifecycle.Runtime
1786635,1240014,Solid.Practices.Composition.Container,Solid.Practices.Composition.Core
622422,630028,NServiceKit.Authentication.OAuth2,NServiceKit
2277507,2276673,SCV.Core,SCV.Utilities
2563639,3368207,Syncfusion.Xamarin.Presentation,Syncfusion.Licensing
1245273,1245290,Arebis.Web,Arebis.Common
2605166,2605137,Umbrella.AspNetCore.DataAnnotations,Umbrella.Utilities
3424383,3424374,CloudNative.CloudEvents.Mqtt,CloudNative.CloudEvents
2563638,3368207,Syncfusion.Xamarin.SfTreeMap,Syncfusion.Licensing
1028835,614148,Shaolinq.SqlServer,Shaolinq
2605165,2605137,Umbrella.AspNetCore.MultiTenant,Umbrella.Utilities
622775,619145,FluentMigrator.ServiceStack,FluentMigrator.Runner
1605798,1603193,NequeoWpf,NequeoLinq
1028277,631433,Topshelf.Unix,Topshelf
