numVersA,numVersB,numDistinctDepDecs,avgMajorVersBehind,avgMinorVersBehind,avgMicroVersBehind,numMajorDecChanges,numMinorDecChanges,numMicroDecChanges,numBackwardsDecChanges,
com.genesys:workspace::org.eclipse.jetty:jetty-client,155,229,1,0,0,1.793333,0,0,0,0
com.alexecollins.docker:docker-java-orchestration::com.fasterxml.jackson.core:jackson-databind,57,110,1,0,1,1.666667,0,0,0,0
org.apereo.cas:cas-server-support-saml::com.github.axet:wget,58,58,1,0,0,0,0,0,0,0
org.apereo.cas:cas-server-support-oidc-core::org.springframework:spring-context,56,74,17,0,0,1.28,0,0,42,21
org.apereo.cas:cas-server-core-monitor::org.springframework.data:spring-data-commons,58,69,9,0.480769,0.230769,3.557692,0,24,19,21
org.apereo.cas:cas-server-core-api-webflow::org.springframework:spring-context-support,54,84,19,0.509434,0,1.245283,2,1,44,22
com.aol.microservices:micro-core::com.fasterxml.jackson.jaxrs:jackson-jaxrs-base,61,68,2,0,0.672727,2.436364,0,11,0,6
com.arsframework:ars-core::org.apache.cxf:cxf-rt-frontend-jaxws,52,117,1,1,0,14,0,0,0,0
de.caluga:morphium::org.openjdk.jmh:jmh-core,88,82,1,0,16.913043,1,0,0,0,0
net.code-story:http::com.fasterxml.jackson.datatype:jackson-datatype-jsr310,147,53,9,0,0.303922,0.862745,0,21,6,14
com.47deg:org-policies-core_2.10::org.mockito:mockito-core,66,258,1,0,1.357143,3,0,0,0,0
org.http4s:http4s-servlet_2.11::org.eclipse.jetty:jetty-server,159,231,22,0,0.547771,1.267516,0,79,38,55
com.fasterxml.jackson.dataformat:jackson-dataformat-avro::com.fasterxml.jackson.core:jackson-databind,84,110,1,0,1,0,0,0,0,0
org.datanucleus:datanucleus-accessplatform-jdo-excel::org.datanucleus:datanucleus-api-jdo,95,92,22,0.339286,0.375,0,14,18,11,18
org.apereo.cas:cas-server-core-api-monitor::org.mockito:mockito-core,58,258,12,0.351852,1.962963,0.018519,22,19,0,20
org.skinny-framework:skinny-standalone_2.11::org.eclipse.jetty:jetty-servlet,90,235,6,0,0.5,1.6,0,0,16,8
org.grails:grails-datastore-gorm-mongodb::org.grails:grails-async,60,87,6,0.117647,0.470588,0.823529,7,0,5,3
org.kuali.rice:rice-it-kim::org.eclipse.jetty:jetty-http,76,231,1,0,2,10,0,0,0,0
com.hazelcast:hazelcast-root::net.bytebuddy:byte-buddy,140,150,1,0,1.8,2,0,0,0,0
net.serenity-bdd:serenity-spring::net.bytebuddy:byte-buddy,231,150,6,0,0.316667,4.191667,0,39,10,22
org.apache.servicemix.bundles:org.apache.servicemix.bundles.elasticsearch::io.netty:netty,63,70,2,1,0,0.2,0,0,7,4
org.grails:grails-datastore-gorm-hibernate::org.codehaus.groovy:groovy-all,58,150,1,0,3,0,0,0,0,0
org.atmosphere.samples:atmosphere-spring-websocket::org.springframework:spring-webmvc,97,75,1,1.2,0,4.35,0,0,0,0
com.github.axet:vget::com.github.axet:wget,82,58,38,0,0.012821,0.076923,2,35,27,30
org.realityforge.react4j:react4j-core::org.eclipse.jetty:jetty-annotations,78,235,1,0,2,9.069767,0,0,0,0
org.grails:grails-datastore-gorm-hibernate-core::org.springframework:spring-tx,84,84,7,0.295455,0.613636,1.272727,19,0,14,14
org.apereo.cas:cas-server-core-api-ticket::com.fasterxml.jackson.core:jackson-databind,58,110,12,0,0.315789,1.526316,0,15,11,15
com.google.cloud:google-cloud-nio::org.mockito:mockito-core,73,258,1,1,1,0,0,0,0,0
com.fasterxml.jackson.core:jackson-databind::org.codehaus.groovy:groovy,110,163,2,0.918367,1.836735,1.979592,6,0,0,3
net.bytebuddy:byte-buddy-benchmark::org.openjdk.jmh:jmh-generator-annprocess,145,75,12,0,1.434483,0.103448,4,67,2,32
com.android.tools:sdk-common::com.android.tools.build:builder-test-api,68,75,24,0,0,0,6,10,9,8
org.apereo.cas:cas-server-core-api-util::org.springframework:spring-web,58,66,11,0,0,1.258065,0,0,17,9
com.github.docker-java:docker-java::org.glassfish.jersey.connectors:jersey-apache-connector,51,62,4,0,5.651163,0.302326,0,11,0,6
com.spotify:helios-testing-common::com.github.jnr:jnr-posix,51,58,1,0,0,6.044444,0,0,0,0
com.aol.microservices:micro-cors::org.mockito:mockito-core,61,258,1,1,1,0,0,0,0,0
org.apereo.cas:cas-server-core-api-util::com.github.axet:wget,58,58,1,0,0,0,0,0,0,0
org.mobicents.media.client:jsr-309-driver::javax.sip:jain-sip-ri,59,152,1,0,0,93.79661,0,0,0,0
org.kitchen-eel:json-schema-validator::org.mockito:mockito-core,52,258,2,0,0,0.978723,0,0,2,1
org.http4s:http4s-core_2.11::org.scalaz:scalaz-scalacheck-binding_2.11,161,56,20,0,1.292035,0.716814,0,36,36,36
net.code-story:http::org.springframework:spring-context,147,74,10,0,0,0.407767,0,22,11,17
org.grails:grails-web-sitemesh::org.codehaus.groovy:groovy-test,67,93,8,0.019608,0.098039,0.294118,0,0,34,16
org.grails:grails-web-common::org.springframework:spring-webmvc,74,75,28,0.040541,0.364865,0.378378,0,32,29,31
